,公司代號,公司名稱,產業類別,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-比率,董事出席董事會出席率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG,ESG_ByPR
0,1101,台泥,水泥工業,71,71,71,29,57,43,43,15,43,57,15,15,15,85,29,15,99,29,43,99,15,29,29,1,1,1,1,45
1,1102,亞泥,水泥工業,85,85,85,15,43,99,99,29,29,99,99,29,29,15,15,29,85,99,57,85,29,15,15,1,1,1,1,58
2,1103,嘉泥,水泥工業,99,99,99,43,99,85,85,99,57,85,85,99,99,99,99,99,71,85,29,71,85,71,99,1,1,1,1,83
3,1104,環泥,水泥工業,57,57,57,57,29,71,71,71,99,71,71,71,85,71,85,85,57,71,99,57,43,43,43,1,1,1,1,65
4,1108,幸福,水泥工業,15,15,15,99,71,15,29,43,15,43,57,57,57,57,43,71,43,15,85,43,71,57,71,1,1,1,1,46
5,1109,信大,水泥工業,29,43,43,71,85,57,57,57,85,29,43,43,43,43,71,57,29,43,15,29,57,85,57,1,1,1,1,53
6,1110,東泥,水泥工業,43,29,29,85,15,29,15,85,71,15,29,85,71,29,57,43,15,57,71,15,99,99,85,1,1,1,1,49
7,1201,味全,食品工業,51,51,59,43,67,47,15,23,59,79,55,31,31,39,75,59,99,99,47,43,35,31,71,1,1,1,1,54
8,1203,味王,食品工業,27,27,31,71,27,63,63,59,23,43,23,51,87,67,35,15,95,75,15,27,71,71,43,1,1,1,1,50
9,1210,大成,食品工業,47,47,51,59,43,31,67,63,43,95,27,83,67,63,71,31,19,95,59,55,51,47,63,1,1,1,1,56
10,1213,大飲,食品工業,19,19,15,99,15,91,95,95,87,15,31,99,71,91,59,43,23,67,35,11,99,99,47,1,1,1,1,59
11,1215,卜蜂,食品工業,55,55,27,83,19,23,47,31,15,19,35,19,23,31,27,79,27,91,27,95,15,15,15,1,1,1,1,39
12,1216,統一,食品工業,87,87,95,15,51,59,75,19,19,99,99,15,19,11,15,19,31,43,79,31,11,11,19,1,1,1,1,42
13,1217,愛之味,食品工業,39,39,47,63,83,55,39,51,35,23,39,87,83,51,67,47,35,87,23,91,43,39,59,1,1,1,1,55
14,1218,泰山,食品工業,67,67,63,47,55,43,31,43,31,27,43,63,79,95,63,51,39,63,87,87,67,63,55,1,1,1,1,59
15,1219,福壽,食品工業,43,43,43,55,39,39,23,55,91,31,47,55,63,23,55,55,43,15,43,67,83,83,95,1,1,1,1,49
16,1220,台榮,食品工業,31,31,35,75,35,79,71,39,11,35,51,27,43,35,11,23,47,51,55,83,55,51,11,1,1,1,1,45
17,1225,福懋油,食品工業,59,59,55,51,23,71,43,79,51,39,19,79,95,79,39,63,51,35,83,59,75,75,31,1,1,1,1,56
18,1227,佳格,食品工業,83,79,79,27,71,35,51,47,67,47,15,43,59,55,95,95,55,55,19,23,31,27,83,1,1,1,1,56
19,1229,聯華,食品工業,99,99,67,39,47,87,87,99,95,83,59,91,55,47,43,35,59,71,39,79,91,91,67,1,1,1,1,70
20,1231,聯華食,食品工業,35,35,39,79,71,19,79,91,83,75,63,47,39,71,47,67,63,39,99,75,27,23,35,1,1,1,1,54
21,1232,大統益,食品工業,91,91,99,11,63,75,59,67,71,51,67,59,11,59,83,27,67,79,63,71,63,59,87,1,1,1,1,64
22,1233,天仁,食品工業,11,11,23,91,95,27,27,75,27,55,71,75,91,75,51,87,11,83,67,63,79,67,27,1,1,1,1,57
23,1234,黑松,食品工業,63,63,71,67,31,67,55,35,63,59,87,35,47,19,79,15,71,47,31,51,47,43,75,1,1,1,1,52
24,1235,興泰,食品工業,15,15,11,95,79,83,11,87,79,63,75,95,99,83,91,91,75,59,75,15,95,95,51,1,1,1,1,68
25,1236,宏亞,食品工業,23,23,19,87,99,51,35,83,99,67,11,71,75,87,31,99,79,11,51,99,87,87,99,1,1,1,1,62
26,1256,鮮活果汁-KY,食品工業,71,71,75,35,87,15,19,71,47,71,79,67,51,99,99,83,83,23,91,47,59,55,91,1,1,1,1,63
27,1702,南僑,食品工業,95,95,91,31,91,95,91,27,75,87,83,11,15,43,23,71,87,31,11,19,23,19,39,1,1,1,1,54
